colonne,type,non_nuls,nuls,exemples
Postes,object,99227,0," Produits régaliens nets ,  Immobilisations incorporelles ,  Immobilisations corporelles "
Sous-postes,object,99227,0," Impôt sur le revenu ,  Impôt sur les sociétés ,  Enregistrement, timbre, autres contributions et taxes indirectes "
Indicateurs de synthèse,object,99227,0,"R001_Impôt sur le revenu, R002_Impôt sur les sociétés, R005_Enr., timbre, autres contr. et taxes ind"
Indicateurs de détail,object,83417,15810,"A001_Coûts de développement, A002_Logiciels, concessions, brevets, A003_Autres immobilisations incorporelles"
Compte,int64,99227,0,"7711000000, 7712000000, 7715000000"
Nature Budgétaire,object,74102,25125,"110102, 110104, 130105"
Programme,object,95960,3267,"0156, RBG, 0200"
Libellé Ministère,object,80057,19170,"Économie, finances et relance, Justice, Transition écologique"
 Balance Sortie 2022 ,float64,53180,46047,"-5762963841.71, -352509415.0, -16228747755.31"
 Balance Sortie 2021 ,float64,52112,47115,"-4864092885.61, -11515629624.35, -85388872.0"
 Balance Sortie 2020 ,float64,50901,48326,"-3590716672.16, -11976229407.93, -44863561.0"
 Balance Sortie 2019 ,float64,51436,47791,"-3484317723.45, -7561545495.89, -86592416.0"
 Balance Sortie 2018 ,float64,50156,49071,"-7079016491.88, -8008174469.66, -102462675.0"
 Balance Sortie 2017 ,float64,49329,49898,"-3957557176.66, -7148930098.63, -56613209.0"
 Balance Sortie 2016 ,float64,48514,50713,"-4001684125.72, -6529464229.24, -65575042.0"
 Balance Sortie 2015 ,float64,49285,49942,"-4286556173.03, -6093777596.66, -61392366.0"
 Balance Sortie 2014 ,float64,49575,49652,"-966477169.56, -6109826081.66, -70586467.0"
 Balance Sortie 2013 ,float64,47469,51758,"-3225776389.83, 62691130.44, -8203336316.67"
 Balance Sortie 2012 ,float64,46239,52988,"-13075.0, -5030904435.04, -8661000718.1"
